Code system;Method;Embedding model;LLM;Accuracy;Partial Accuracy;F1 weighted (exact);F1 weighted (partial);F1 macro (exact);F1 macro (partial);Malformed
ICD-O-3;RAG-prompting classifier head;SapBERT;Llama 3.1 PEFT;24.16;56.62;30.35;62.36;17.3;48.1;0.89
ICD-O-3;RAG-prompting classifier head;SapBERT;Llama 3.3 base;32.61;70.45;36.79;75.91;23.96;61.1;1.48
ICD-O-3;RAG-prompting classifier head;SapBERT;Llama 3.3 PEFT;36.41;60.92;44.09;68.88;27.57;59.79;1.53
ICD-O-3;RAG-prompting classifier head;deepset-mxbai-embed;Llama 3.1 base;15.66;41.11;17.86;49.51;14.87;34.53;34.44
ICD-O-3;RAG-prompting classifier head;deepset-mxbai-embed;Llama 3.1 PEFT;24.01;56.77;30.05;62.54;17.86;49.02;0.54
ICD-O-3;RAG-prompting classifier head;deepset-mxbai-embed;Llama 3.3 base;32.21;70.95;36.34;75.94;23.56;63.44;1.09
ICD-O-3;RAG-prompting classifier head;deepset-mxbai-embed;Llama 3.3 PEFT;36.61;61.07;44.13;69.19;28.83;62.15;2.17
ICD-O-3;RAG-prompting classifier head;jina-embeddings-v2;Llama 3.1 base;16.11;41.65;18.5;49.98;15.07;35.06;33.1
ICD-O-3;RAG-prompting classifier head;jina-embeddings-v2;Llama 3.1 PEFT;23.42;56.13;29.27;61.79;17.87;48.55;0.4
ICD-O-3;RAG-prompting classifier head;jina-embeddings-v2;Llama 3.3 base;31.82;69.81;36.5;75.07;22.97;62.96;0.59
ICD-O-3;RAG-prompting classifier head;jina-embeddings-v2;Llama 3.3 PEFT;37.4;61.12;45.19;68.8;29.22;60.01;1.58
ICD-O-3;RAG-prompting classifier head;jina-embeddings-v3;Llama 3.1 base;16.06;43.92;17.75;52.05;12.91;34.91;33.05
ICD-O-3;RAG-prompting classifier head;jina-embeddings-v3;Llama 3.1 PEFT;24.9;58.5;30.38;63.9;18.5;49.02;0.54
ICD-O-3;RAG-prompting classifier head;jina-embeddings-v3;Llama 3.3 base;32.95;70.01;38.05;75.36;24.86;63.32;1.04
ICD-O-3;RAG-prompting classifier head;jina-embeddings-v3;Llama 3.3 PEFT;37.45;62.06;45.25;69.6;28.63;60.89;1.73
ICD-O-3;RAG-prompting classifier head;mE5;Llama 3.1 base;16.01;42.44;18.08;50.61;14.05;35.34;33.25
ICD-O-3;RAG-prompting classifier head;mE5;Llama 3.1 PEFT;24.36;57.86;30.17;63.66;19.04;47.7;0.49
ICD-O-3;RAG-prompting classifier head;mE5;Llama 3.3 base;32.26;70.75;37.09;75.81;24.04;64.03;1.24
ICD-O-3;RAG-prompting classifier head;mE5;Llama 3.3 PEFT;38.98;63.14;46.7;70.69;28.04;59.83;2.17
ICD-O-3;RAG-prompting classifier head;medBERT.de;Llama 3.1 base;14.62;44.81;15.54;52.76;15.71;38.47;30.48
ICD-O-3;RAG-prompting classifier head;medBERT.de;Llama 3.1 PEFT;24.01;58.45;29.79;64.73;17.28;49.23;0.69
ICD-O-3;RAG-prompting classifier head;medBERT.de;Llama 3.3 base;32.76;71.39;35.83;76.09;22.73;62.11;0.44
ICD-O-3;RAG-prompting classifier head;medBERT.de;Llama 3.3 PEFT;37.4;61.41;45.06;68.97;30.75;62.57;1.24
